,experiment,d,repetitions,m,n,approx_type,kernel_type,l_minus_l_plus,function_type,perturbation_or_Qi,power
245,1: uniform alternative,1.0,500,500,500,permutation,laplace,"(-4, 0)",uniform,1,1.0
246,1: uniform alternative,1.0,500,500,500,permutation,laplace,"(-4, 0)",uniform,2,0.99
247,1: uniform alternative,1.0,500,500,500,permutation,laplace,"(-4, 0)",uniform,3,0.234
248,1: uniform alternative,1.0,500,500,500,permutation,laplace,"(-4, 0)",uniform,4,0.022
249,1: uniform alternative,1.0,500,500,500,permutation,laplace,"(-4, 0)",increasing,1,1.0
250,1: uniform alternative,1.0,500,500,500,permutation,laplace,"(-4, 0)",increasing,2,0.986
251,1: uniform alternative,1.0,500,500,500,permutation,laplace,"(-4, 0)",increasing,3,0.234
252,1: uniform alternative,1.0,500,500,500,permutation,laplace,"(-4, 0)",increasing,4,0.012
253,1: uniform alternative,1.0,500,500,500,permutation,laplace,"(-4, 0)",decreasing,1,1.0
254,1: uniform alternative,1.0,500,500,500,permutation,laplace,"(-4, 0)",decreasing,2,0.962
255,1: uniform alternative,1.0,500,500,500,permutation,laplace,"(-4, 0)",decreasing,3,0.206
256,1: uniform alternative,1.0,500,500,500,permutation,laplace,"(-4, 0)",decreasing,4,0.018
257,1: uniform alternative,1.0,500,500,500,permutation,laplace,"(-4, 0)",centred,1,1.0
258,1: uniform alternative,1.0,500,500,500,permutation,laplace,"(-4, 0)",centred,2,0.992
259,1: uniform alternative,1.0,500,500,500,permutation,laplace,"(-4, 0)",centred,3,0.336
260,1: uniform alternative,1.0,500,500,500,permutation,laplace,"(-4, 0)",centred,4,0.024
261,1: uniform alternative,1.0,500,500,500,permutation,laplace,"(-4, 0)",ost,1,0.618
262,1: uniform alternative,1.0,500,500,500,permutation,laplace,"(-4, 0)",ost,2,0.08
263,1: uniform alternative,1.0,500,500,500,permutation,laplace,"(-4, 0)",ost,3,0.042
264,1: uniform alternative,1.0,500,500,500,permutation,laplace,"(-4, 0)",ost,4,0.064
265,1: uniform alternative,2.0,500,2000,2000,permutation,laplace,"(-4, 0)",uniform,1,1.0
266,1: uniform alternative,2.0,500,2000,2000,permutation,laplace,"(-4, 0)",uniform,2,0.47
267,1: uniform alternative,2.0,500,2000,2000,permutation,laplace,"(-4, 0)",uniform,3,0.006
268,1: uniform alternative,2.0,500,2000,2000,permutation,laplace,"(-4, 0)",increasing,1,1.0
269,1: uniform alternative,2.0,500,2000,2000,permutation,laplace,"(-4, 0)",increasing,2,0.41
270,1: uniform alternative,2.0,500,2000,2000,permutation,laplace,"(-4, 0)",increasing,3,0.002
271,1: uniform alternative,2.0,500,2000,2000,permutation,laplace,"(-4, 0)",decreasing,1,1.0
272,1: uniform alternative,2.0,500,2000,2000,permutation,laplace,"(-4, 0)",decreasing,2,0.4
273,1: uniform alternative,2.0,500,2000,2000,permutation,laplace,"(-4, 0)",decreasing,3,0.004
274,1: uniform alternative,2.0,500,2000,2000,permutation,laplace,"(-4, 0)",centred,1,1.0
275,1: uniform alternative,2.0,500,2000,2000,permutation,laplace,"(-4, 0)",centred,2,0.558
276,1: uniform alternative,2.0,500,2000,2000,permutation,laplace,"(-4, 0)",centred,3,0.002
277,1: uniform alternative,2.0,500,2000,2000,permutation,laplace,"(-4, 0)",ost,1,0.212
278,1: uniform alternative,2.0,500,2000,2000,permutation,laplace,"(-4, 0)",ost,2,0.046
279,1: uniform alternative,2.0,500,2000,2000,permutation,laplace,"(-4, 0)",ost,3,0.048
280,3: uniform alternative,1.0,500,500,500,wild bootstrap,gaussian,,median,1,1.0
281,3: uniform alternative,1.0,500,500,500,wild bootstrap,gaussian,,median,2,0.812
282,3: uniform alternative,1.0,500,500,500,wild bootstrap,gaussian,,median,3,0.084
283,3: uniform alternative,1.0,500,500,500,wild bootstrap,gaussian,,median,4,0.018
284,3: uniform alternative,1.0,500,500,500,wild bootstrap,gaussian,,split,1,1.0
285,3: uniform alternative,1.0,500,500,500,wild bootstrap,gaussian,,split,2,0.826
286,3: uniform alternative,1.0,500,500,500,wild bootstrap,gaussian,,split,3,0.144
287,3: uniform alternative,1.0,500,500,500,wild bootstrap,gaussian,,split,4,0.046
288,3: uniform alternative,1.0,500,500,500,wild bootstrap,gaussian,,split (doubled sample sizes),1,1.0
289,3: uniform alternative,1.0,500,500,500,wild bootstrap,gaussian,,split (doubled sample sizes),2,0.99
290,3: uniform alternative,1.0,500,500,500,wild bootstrap,gaussian,,split (doubled sample sizes),3,0.562
291,3: uniform alternative,1.0,500,500,500,wild bootstrap,gaussian,,split (doubled sample sizes),4,0.174
292,3: uniform alternative,2.0,500,2000,2000,wild bootstrap,gaussian,,median,1,1.0
293,3: uniform alternative,2.0,500,2000,2000,wild bootstrap,gaussian,,median,2,0.132
294,3: uniform alternative,2.0,500,2000,2000,wild bootstrap,gaussian,,median,3,0.012
295,3: uniform alternative,2.0,500,2000,2000,wild bootstrap,gaussian,,split,1,1.0
296,3: uniform alternative,2.0,500,2000,2000,wild bootstrap,gaussian,,split,2,0.506
297,3: uniform alternative,2.0,500,2000,2000,wild bootstrap,gaussian,,split,3,0.026
298,3: uniform alternative,2.0,500,2000,2000,wild bootstrap,gaussian,,split (doubled sample sizes),1,1.0
299,3: uniform alternative,2.0,500,2000,2000,wild bootstrap,gaussian,,split (doubled sample sizes),2,0.968
300,3: uniform alternative,2.0,500,2000,2000,wild bootstrap,gaussian,,split (doubled sample sizes),3,0.09
301,3: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,,median,1,1.0
302,3: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,,median,2,0.962
303,3: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,,median,3,0.172
304,3: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,,median,4,0.018
305,3: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,,split,1,1.0
306,3: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,,split,2,0.752
307,3: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,,split,3,0.144
308,3: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,,split,4,0.04
309,3: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,,split (doubled sample sizes),1,1.0
310,3: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,,split (doubled sample sizes),2,0.992
311,3: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,,split (doubled sample sizes),3,0.516
312,3: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,,split (doubled sample sizes),4,0.118
313,3: uniform alternative,2.0,500,2000,2000,wild bootstrap,laplace,,median,1,1.0
314,3: uniform alternative,2.0,500,2000,2000,wild bootstrap,laplace,,median,2,0.08
315,3: uniform alternative,2.0,500,2000,2000,wild bootstrap,laplace,,median,3,0.014
316,3: uniform alternative,2.0,500,2000,2000,wild bootstrap,laplace,,split,1,1.0
317,3: uniform alternative,2.0,500,2000,2000,wild bootstrap,laplace,,split,2,0.3
318,3: uniform alternative,2.0,500,2000,2000,wild bootstrap,laplace,,split,3,0.016
319,3: uniform alternative,2.0,500,2000,2000,wild bootstrap,laplace,,split (doubled sample sizes),1,1.0
320,3: uniform alternative,2.0,500,2000,2000,wild bootstrap,laplace,,split (doubled sample sizes),2,0.862
321,3: uniform alternative,2.0,500,2000,2000,wild bootstrap,laplace,,split (doubled sample sizes),3,0.03
322,3: uniform alternative,1.0,500,500,500,permutation,gaussian,,median,1,1.0
323,3: uniform alternative,1.0,500,500,500,permutation,gaussian,,median,2,0.804
324,3: uniform alternative,1.0,500,500,500,permutation,gaussian,,median,3,0.082
325,3: uniform alternative,1.0,500,500,500,permutation,gaussian,,median,4,0.02
326,3: uniform alternative,1.0,500,500,500,permutation,gaussian,,split,1,1.0
327,3: uniform alternative,1.0,500,500,500,permutation,gaussian,,split,2,0.826
328,3: uniform alternative,1.0,500,500,500,permutation,gaussian,,split,3,0.154
329,3: uniform alternative,1.0,500,500,500,permutation,gaussian,,split,4,0.048
330,3: uniform alternative,1.0,500,500,500,permutation,gaussian,,split (doubled sample sizes),1,1.0
331,3: uniform alternative,1.0,500,500,500,permutation,gaussian,,split (doubled sample sizes),2,0.992
332,3: uniform alternative,1.0,500,500,500,permutation,gaussian,,split (doubled sample sizes),3,0.562
333,3: uniform alternative,1.0,500,500,500,permutation,gaussian,,split (doubled sample sizes),4,0.184
334,3: uniform alternative,2.0,500,2000,2000,permutation,gaussian,,median,1,1.0
335,3: uniform alternative,2.0,500,2000,2000,permutation,gaussian,,median,2,0.138
336,3: uniform alternative,2.0,500,2000,2000,permutation,gaussian,,median,3,0.012
337,3: uniform alternative,2.0,500,2000,2000,permutation,gaussian,,split,1,1.0
338,3: uniform alternative,2.0,500,2000,2000,permutation,gaussian,,split,2,0.5
339,3: uniform alternative,2.0,500,2000,2000,permutation,gaussian,,split,3,0.028
340,3: uniform alternative,2.0,500,2000,2000,permutation,gaussian,,split (doubled sample sizes),1,1.0
341,3: uniform alternative,2.0,500,2000,2000,permutation,gaussian,,split (doubled sample sizes),2,0.964
342,3: uniform alternative,2.0,500,2000,2000,permutation,gaussian,,split (doubled sample sizes),3,0.092
343,3: uniform alternative,1.0,500,500,500,permutation,laplace,,median,1,1.0
344,3: uniform alternative,1.0,500,500,500,permutation,laplace,,median,2,0.96
345,3: uniform alternative,1.0,500,500,500,permutation,laplace,,median,3,0.17
346,3: uniform alternative,1.0,500,500,500,permutation,laplace,,median,4,0.02
347,3: uniform alternative,1.0,500,500,500,permutation,laplace,,split,1,1.0
348,3: uniform alternative,1.0,500,500,500,permutation,laplace,,split,2,0.758
349,3: uniform alternative,1.0,500,500,500,permutation,laplace,,split,3,0.148
350,3: uniform alternative,1.0,500,500,500,permutation,laplace,,split,4,0.04
351,3: uniform alternative,1.0,500,500,500,permutation,laplace,,split (doubled sample sizes),1,1.0
352,3: uniform alternative,1.0,500,500,500,permutation,laplace,,split (doubled sample sizes),2,0.988
353,3: uniform alternative,1.0,500,500,500,permutation,laplace,,split (doubled sample sizes),3,0.508
354,3: uniform alternative,1.0,500,500,500,permutation,laplace,,split (doubled sample sizes),4,0.12
355,3: uniform alternative,2.0,500,2000,2000,permutation,laplace,,median,1,1.0
356,3: uniform alternative,2.0,500,2000,2000,permutation,laplace,,median,2,0.076
357,3: uniform alternative,2.0,500,2000,2000,permutation,laplace,,median,3,0.018
358,3: uniform alternative,2.0,500,2000,2000,permutation,laplace,,split,1,1.0
359,3: uniform alternative,2.0,500,2000,2000,permutation,laplace,,split,2,0.288
360,3: uniform alternative,2.0,500,2000,2000,permutation,laplace,,split,3,0.026
361,3: uniform alternative,2.0,500,2000,2000,permutation,laplace,,split (doubled sample sizes),1,1.0
362,3: uniform alternative,2.0,500,2000,2000,permutation,laplace,,split (doubled sample sizes),2,0.856
363,3: uniform alternative,2.0,500,2000,2000,permutation,laplace,,split (doubled sample sizes),3,0.026
364,5: uniform null,1.0,5000,500,500,wild bootstrap,gaussian,"(-4, 0)",uniform,0,0.0476
365,5: uniform null,1.0,5000,500,500,wild bootstrap,gaussian,"(-4, 0)",increasing,0,0.0456
366,5: uniform null,1.0,5000,500,500,wild bootstrap,gaussian,"(-4, 0)",decreasing,0,0.0434
367,5: uniform null,1.0,5000,500,500,wild bootstrap,gaussian,"(-4, 0)",centred,0,0.052
368,5: uniform null,1.0,5000,500,500,wild bootstrap,gaussian,"(-4, 0)",ost,0,0.0594
369,5: uniform null,1.0,5000,500,500,wild bootstrap,gaussian,"(-4, 0)",median,0,0.047
370,5: uniform null,1.0,5000,500,500,wild bootstrap,gaussian,"(-4, 0)",split,0,0.054
371,5: uniform null,2.0,5000,2000,2000,wild bootstrap,gaussian,"(-4, 0)",uniform,0,0.039
372,5: uniform null,2.0,5000,2000,2000,wild bootstrap,gaussian,"(-4, 0)",increasing,0,0.044
373,5: uniform null,2.0,5000,2000,2000,wild bootstrap,gaussian,"(-4, 0)",decreasing,0,0.0496
374,5: uniform null,2.0,5000,2000,2000,wild bootstrap,gaussian,"(-4, 0)",centred,0,0.0432
375,5: uniform null,2.0,5000,2000,2000,wild bootstrap,gaussian,"(-4, 0)",ost,0,0.0478
376,5: uniform null,2.0,5000,2000,2000,wild bootstrap,gaussian,"(-4, 0)",median,0,0.0464
377,5: uniform null,2.0,5000,2000,2000,wild bootstrap,gaussian,"(-4, 0)",split,0,0.0482
378,5: uniform null,1.0,5000,500,500,wild bootstrap,laplace,"(-4, 0)",uniform,0,0.0474
379,5: uniform null,1.0,5000,500,500,wild bootstrap,laplace,"(-4, 0)",increasing,0,0.0516
380,5: uniform null,1.0,5000,500,500,wild bootstrap,laplace,"(-4, 0)",decreasing,0,0.0504
381,5: uniform null,1.0,5000,500,500,wild bootstrap,laplace,"(-4, 0)",centred,0,0.0488
382,5: uniform null,1.0,5000,500,500,wild bootstrap,laplace,"(-4, 0)",ost,0,0.0586
383,5: uniform null,1.0,5000,500,500,wild bootstrap,laplace,"(-4, 0)",median,0,0.0534
384,5: uniform null,1.0,5000,500,500,wild bootstrap,laplace,"(-4, 0)",split,0,0.05
385,5: uniform null,2.0,5000,2000,2000,wild bootstrap,laplace,"(-4, 0)",uniform,0,0.0382
386,5: uniform null,2.0,5000,2000,2000,wild bootstrap,laplace,"(-4, 0)",increasing,0,0.0506
387,5: uniform null,2.0,5000,2000,2000,wild bootstrap,laplace,"(-4, 0)",decreasing,0,0.0478
388,5: uniform null,2.0,5000,2000,2000,wild bootstrap,laplace,"(-4, 0)",centred,0,0.0502
389,5: uniform null,2.0,5000,2000,2000,wild bootstrap,laplace,"(-4, 0)",ost,0,0.0502
390,5: uniform null,2.0,5000,2000,2000,wild bootstrap,laplace,"(-4, 0)",median,0,0.0438
391,5: uniform null,2.0,5000,2000,2000,wild bootstrap,laplace,"(-4, 0)",split,0,0.0548
392,5: uniform null,1.0,5000,500,500,permutation,gaussian,"(-4, 0)",uniform,0,0.0496
393,5: uniform null,1.0,5000,500,500,permutation,gaussian,"(-4, 0)",increasing,0,0.0478
394,5: uniform null,1.0,5000,500,500,permutation,gaussian,"(-4, 0)",decreasing,0,0.0454
395,5: uniform null,1.0,5000,500,500,permutation,gaussian,"(-4, 0)",centred,0,0.0532
396,5: uniform null,1.0,5000,500,500,permutation,gaussian,"(-4, 0)",ost,0,0.0594
397,5: uniform null,1.0,5000,500,500,permutation,gaussian,"(-4, 0)",median,0,0.0468
398,5: uniform null,1.0,5000,500,500,permutation,gaussian,"(-4, 0)",split,0,0.0528
399,5: uniform null,2.0,5000,2000,2000,permutation,gaussian,"(-4, 0)",uniform,0,0.0424
400,5: uniform null,2.0,5000,2000,2000,permutation,gaussian,"(-4, 0)",increasing,0,0.0414
401,5: uniform null,2.0,5000,2000,2000,permutation,gaussian,"(-4, 0)",decreasing,0,0.0498
402,5: uniform null,2.0,5000,2000,2000,permutation,gaussian,"(-4, 0)",centred,0,0.0446
403,5: uniform null,2.0,5000,2000,2000,permutation,gaussian,"(-4, 0)",ost,0,0.0478
404,5: uniform null,2.0,5000,2000,2000,permutation,gaussian,"(-4, 0)",median,0,0.0466
405,5: uniform null,2.0,5000,2000,2000,permutation,gaussian,"(-4, 0)",split,0,0.0472
406,5: uniform null,1.0,5000,500,500,permutation,laplace,"(-4, 0)",uniform,0,0.047
407,5: uniform null,1.0,5000,500,500,permutation,laplace,"(-4, 0)",increasing,0,0.0496
408,5: uniform null,1.0,5000,500,500,permutation,laplace,"(-4, 0)",decreasing,0,0.0494
409,5: uniform null,1.0,5000,500,500,permutation,laplace,"(-4, 0)",centred,0,0.0482
410,5: uniform null,1.0,5000,500,500,permutation,laplace,"(-4, 0)",ost,0,0.0586
411,5: uniform null,1.0,5000,500,500,permutation,laplace,"(-4, 0)",median,0,0.0522
412,5: uniform null,1.0,5000,500,500,permutation,laplace,"(-4, 0)",split,0,0.0494
413,5: uniform null,2.0,5000,2000,2000,permutation,laplace,"(-4, 0)",uniform,0,0.0418
414,5: uniform null,2.0,5000,2000,2000,permutation,laplace,"(-4, 0)",increasing,0,0.0514
415,5: uniform null,2.0,5000,2000,2000,permutation,laplace,"(-4, 0)",decreasing,0,0.049
416,5: uniform null,2.0,5000,2000,2000,permutation,laplace,"(-4, 0)",centred,0,0.0474
417,5: uniform null,2.0,5000,2000,2000,permutation,laplace,"(-4, 0)",ost,0,0.0502
418,5: uniform null,2.0,5000,2000,2000,permutation,laplace,"(-4, 0)",median,0,0.0458
419,5: uniform null,2.0,5000,2000,2000,permutation,laplace,"(-4, 0)",split,0,0.0548
420,7: uniform alternative,1.0,500,100,1000,permutation,gaussian,"(-4, 0)",uniform,3,0.09
421,7: uniform alternative,1.0,500,100,2000,permutation,gaussian,"(-4, 0)",uniform,3,0.15
422,7: uniform alternative,1.0,500,100,3000,permutation,gaussian,"(-4, 0)",uniform,3,0.164
423,7: uniform alternative,1.0,500,100,4000,permutation,gaussian,"(-4, 0)",uniform,3,0.172
424,7: uniform alternative,1.0,500,100,5000,permutation,gaussian,"(-4, 0)",uniform,3,0.172
425,7: uniform alternative,1.0,500,100,1000,permutation,gaussian,"(-4, 0)",increasing,3,0.08
426,7: uniform alternative,1.0,500,100,2000,permutation,gaussian,"(-4, 0)",increasing,3,0.114
427,7: uniform alternative,1.0,500,100,3000,permutation,gaussian,"(-4, 0)",increasing,3,0.13
428,7: uniform alternative,1.0,500,100,4000,permutation,gaussian,"(-4, 0)",increasing,3,0.166
429,7: uniform alternative,1.0,500,100,5000,permutation,gaussian,"(-4, 0)",increasing,3,0.142
430,7: uniform alternative,1.0,500,100,1000,permutation,gaussian,"(-4, 0)",decreasing,3,0.07
431,7: uniform alternative,1.0,500,100,2000,permutation,gaussian,"(-4, 0)",decreasing,3,0.132
432,7: uniform alternative,1.0,500,100,3000,permutation,gaussian,"(-4, 0)",decreasing,3,0.138
433,7: uniform alternative,1.0,500,100,4000,permutation,gaussian,"(-4, 0)",decreasing,3,0.166
434,7: uniform alternative,1.0,500,100,5000,permutation,gaussian,"(-4, 0)",decreasing,3,0.18
435,7: uniform alternative,1.0,500,100,1000,permutation,gaussian,"(-4, 0)",centred,3,0.142
436,7: uniform alternative,1.0,500,100,2000,permutation,gaussian,"(-4, 0)",centred,3,0.182
437,7: uniform alternative,1.0,500,100,3000,permutation,gaussian,"(-4, 0)",centred,3,0.216
438,7: uniform alternative,1.0,500,100,4000,permutation,gaussian,"(-4, 0)",centred,3,0.206
439,7: uniform alternative,1.0,500,100,5000,permutation,gaussian,"(-4, 0)",centred,3,0.23
440,7: uniform alternative,2.0,500,250,1000,permutation,gaussian,"(-4, 0)",uniform,2,0.016
441,7: uniform alternative,2.0,500,250,2000,permutation,gaussian,"(-4, 0)",uniform,2,0.058
442,7: uniform alternative,2.0,500,250,3000,permutation,gaussian,"(-4, 0)",uniform,2,0.08
443,7: uniform alternative,2.0,500,250,4000,permutation,gaussian,"(-4, 0)",uniform,2,0.106
444,7: uniform alternative,2.0,500,250,5000,permutation,gaussian,"(-4, 0)",uniform,2,0.12
445,7: uniform alternative,2.0,500,250,1000,permutation,gaussian,"(-4, 0)",increasing,2,0.034
446,7: uniform alternative,2.0,500,250,2000,permutation,gaussian,"(-4, 0)",increasing,2,0.056
447,7: uniform alternative,2.0,500,250,3000,permutation,gaussian,"(-4, 0)",increasing,2,0.088
448,7: uniform alternative,2.0,500,250,4000,permutation,gaussian,"(-4, 0)",increasing,2,0.096
449,7: uniform alternative,2.0,500,250,5000,permutation,gaussian,"(-4, 0)",increasing,2,0.136
450,7: uniform alternative,2.0,500,250,1000,permutation,gaussian,"(-4, 0)",decreasing,2,0.002
451,7: uniform alternative,2.0,500,250,2000,permutation,gaussian,"(-4, 0)",decreasing,2,0.032
452,7: uniform alternative,2.0,500,250,3000,permutation,gaussian,"(-4, 0)",decreasing,2,0.058
453,7: uniform alternative,2.0,500,250,4000,permutation,gaussian,"(-4, 0)",decreasing,2,0.062
454,7: uniform alternative,2.0,500,250,5000,permutation,gaussian,"(-4, 0)",decreasing,2,0.082
455,7: uniform alternative,2.0,500,250,1000,permutation,gaussian,"(-4, 0)",centred,2,0.01
456,7: uniform alternative,2.0,500,250,2000,permutation,gaussian,"(-4, 0)",centred,2,0.084
457,7: uniform alternative,2.0,500,250,3000,permutation,gaussian,"(-4, 0)",centred,2,0.116
458,7: uniform alternative,2.0,500,250,4000,permutation,gaussian,"(-4, 0)",centred,2,0.162
459,7: uniform alternative,2.0,500,250,5000,permutation,gaussian,"(-4, 0)",centred,2,0.178
460,7: uniform alternative,1.0,500,100,1000,permutation,laplace,"(-4, 0)",uniform,3,0.06
461,7: uniform alternative,1.0,500,100,2000,permutation,laplace,"(-4, 0)",uniform,3,0.128
462,7: uniform alternative,1.0,500,100,3000,permutation,laplace,"(-4, 0)",uniform,3,0.178
463,7: uniform alternative,1.0,500,100,4000,permutation,laplace,"(-4, 0)",uniform,3,0.172
464,7: uniform alternative,1.0,500,100,5000,permutation,laplace,"(-4, 0)",uniform,3,0.18
465,7: uniform alternative,1.0,500,100,1000,permutation,laplace,"(-4, 0)",increasing,3,0.076
466,7: uniform alternative,1.0,500,100,2000,permutation,laplace,"(-4, 0)",increasing,3,0.092
467,7: uniform alternative,1.0,500,100,3000,permutation,laplace,"(-4, 0)",increasing,3,0.146
468,7: uniform alternative,1.0,500,100,4000,permutation,laplace,"(-4, 0)",increasing,3,0.134
469,7: uniform alternative,1.0,500,100,5000,permutation,laplace,"(-4, 0)",increasing,3,0.112
470,7: uniform alternative,1.0,500,100,1000,permutation,laplace,"(-4, 0)",decreasing,3,0.072
471,7: uniform alternative,1.0,500,100,2000,permutation,laplace,"(-4, 0)",decreasing,3,0.138
472,7: uniform alternative,1.0,500,100,3000,permutation,laplace,"(-4, 0)",decreasing,3,0.156
473,7: uniform alternative,1.0,500,100,4000,permutation,laplace,"(-4, 0)",decreasing,3,0.156
474,7: uniform alternative,1.0,500,100,5000,permutation,laplace,"(-4, 0)",decreasing,3,0.196
475,7: uniform alternative,1.0,500,100,1000,permutation,laplace,"(-4, 0)",centred,3,0.116
476,7: uniform alternative,1.0,500,100,2000,permutation,laplace,"(-4, 0)",centred,3,0.17
477,7: uniform alternative,1.0,500,100,3000,permutation,laplace,"(-4, 0)",centred,3,0.174
478,7: uniform alternative,1.0,500,100,4000,permutation,laplace,"(-4, 0)",centred,3,0.186
479,7: uniform alternative,1.0,500,100,5000,permutation,laplace,"(-4, 0)",centred,3,0.176
480,7: uniform alternative,2.0,500,250,1000,permutation,laplace,"(-4, 0)",uniform,2,0.002
481,7: uniform alternative,2.0,500,250,2000,permutation,laplace,"(-4, 0)",uniform,2,0.036
482,7: uniform alternative,2.0,500,250,3000,permutation,laplace,"(-4, 0)",uniform,2,0.062
483,7: uniform alternative,2.0,500,250,4000,permutation,laplace,"(-4, 0)",uniform,2,0.068
484,7: uniform alternative,2.0,500,250,5000,permutation,laplace,"(-4, 0)",uniform,2,0.092
485,7: uniform alternative,2.0,500,250,1000,permutation,laplace,"(-4, 0)",increasing,2,0.03
486,7: uniform alternative,2.0,500,250,2000,permutation,laplace,"(-4, 0)",increasing,2,0.038
487,7: uniform alternative,2.0,500,250,3000,permutation,laplace,"(-4, 0)",increasing,2,0.062
488,7: uniform alternative,2.0,500,250,4000,permutation,laplace,"(-4, 0)",increasing,2,0.072
489,7: uniform alternative,2.0,500,250,5000,permutation,laplace,"(-4, 0)",increasing,2,0.096
490,7: uniform alternative,2.0,500,250,1000,permutation,laplace,"(-4, 0)",decreasing,2,0.0
491,7: uniform alternative,2.0,500,250,2000,permutation,laplace,"(-4, 0)",decreasing,2,0.02
492,7: uniform alternative,2.0,500,250,3000,permutation,laplace,"(-4, 0)",decreasing,2,0.03
493,7: uniform alternative,2.0,500,250,4000,permutation,laplace,"(-4, 0)",decreasing,2,0.06
494,7: uniform alternative,2.0,500,250,5000,permutation,laplace,"(-4, 0)",decreasing,2,0.066
495,7: uniform alternative,2.0,500,250,1000,permutation,laplace,"(-4, 0)",centred,2,0.01
496,7: uniform alternative,2.0,500,250,2000,permutation,laplace,"(-4, 0)",centred,2,0.034
497,7: uniform alternative,2.0,500,250,3000,permutation,laplace,"(-4, 0)",centred,2,0.078
498,7: uniform alternative,2.0,500,250,4000,permutation,laplace,"(-4, 0)",centred,2,0.096
499,7: uniform alternative,2.0,500,250,5000,permutation,laplace,"(-4, 0)",centred,2,0.124
500,9: uniform alternative,1.0,500,500,500,wild bootstrap,gaussian,"(-2, -2)",uniform,3,0.502
